id	name	directions	cust_id	time_modified	servings	prep_time	category
1	CHAPATI (PHULKA)	Put flour in a large bowl with half the water. Blend the two together until it holds. Beat and knead well until it forms a compact ball.<br><br>Knead dough until it is smooth and elastic. Set aside for 30 minutes.<br><br>Knead and divide dough into 4 to 6 parts. Roll each ball into a tortilla like flat, about 1/8&Prime; thick. Heat an ungreased skillet. <br><br>Put phulka on it, and let it cook for about 1 minute (The top should just start to look dry and small bubbles should just start to form). <br><br>Turn and cook the second side for 2/3 minutes until small bubbles form. <br><br>Turn again and cook the first side pressed lightly with a towel. It should puff. Serve warm (maybe slightly buttered).<br> 	1	NULL	serves 4, 1-2 for each	NULL	1
2	PARATHA	Make chappati dough. Divide into 6 parts and make balls. Flatten and roll each. <br><br>Spread ghee over them and fold. Roll again. <br><br>Heat the paratha on a griddle like you would a chappati, but spread some ghee over the top side. Turn and spread ghee on the other side. Fry until the bottom is crisp and golden, then turn and fry the remaining side. <br><br>Repeat with all six. <br><br>Serve at once, since they lose crispness if stored.<br>	1	NULL	NULL	NULL	1
3	BHEL	First boil the potatoes, mash them, salt them, and add pepper to taste. Add some coriander leaves too. <br><br>Roast the cumin and grind it.<br><br>Dissolve about 4 Tbsp of tamarind concentrate in 1 cup of hot water, and let it simmer and thicken gradually. Dissolve the jaggery (or sugar) until the sauce becomes tart and slightly sweet. (You may add some salt<br>and ground red paprika, if you want to.) The sauce should be of a consistency slightly thinner than maple syrup. Pour into a serving container (like a creamer). Mix the puffed rice and sev/bhel mix in a large bowl. <br><br>On a plate, serve the rice-bhel mixture, add the potatoes, then the onions, chilies, and then dust the cumin powder over it. Next pour on the sauce and top with the coriander garnish. (Add salt/pepper to<br>taste). <br><br>Mix the ingredients on the plate and eat. <br>	1	NULL	NULL	NULL	2
4	PAKORAS (SAVORY FRITTERS)	In a bowl put the besan and half the water, and stir until it becomes a thick batter. Beat hard for 5 minutes. gradually add the rest of the water, and leave to swell for 30 minutes. Add salt, pepper and Garam Masala and beat again. <br><br>Wash peel and slice the onion and potatoes. Wash and pat dry the spinach leaves. <br><br>Heat oil until smoking hot, dip the vegetables in the batter and deep fry until golden brown. <br><br>Serve hot. <br>	1	NULL	NULL	NULL	2
5	CHOLE (CHICK PEAS)	If you are using the potatoes, start boiling them in a saucepan. Let them boil for at least 15 minutes. After they are done, turn off the heat and let them stand in the water. <br> <br>While the potatoes are cooking, heat the oil in a wide skillet until it is very hot. Add the mustard seeds and wait until they start popping. Add bay leaves, cardamom and cloves. <br><br>Mix around for a while and then add onions. Waituntill the onion starts to turn golden before adding the rest of the spices (except for the Garam Masala). <br><br>Add chick-peas with all the liquid. Cut up the potatoes into bite sized pieces and add to the skillet. Add Garam Masala. <br><br>Continue stirring the chick-peas under medium heat for 5-7 minutes without covering. <br><br>Check the tenderness of the potatoes. If they are still too hard, add another 1/4 cup of water and cook for another couple of minutes.<br><br>Salt to taste and serve.<br>	1	NULL	NULL	15 min	3
6	VEGETABLE KURMA	Put a reasonable sized vessel on the range and heat oil. Add cinnamon, cloves and cardamom and fry for 2-3 minutes. Add onions and green chilies and fry till onions turn brown. Add garlic + ginger paste and fry for a minute or so. Add vegetables and fry for about 3 minutes.<br> <br>Add Water (about a cup or two). Let the vegetables + turmeric powder cook. <br><br>If you are using canned or frozen vegetables skip the above step.<br> <br>Add coconut paste, khus-khus, salt and wait until cooked. <br>(Note: Cook on low heat.)<br>	1	NULL	NULL	NULL	3
7	DRY POTATOES (SOOKHA ALOO)	Boil potatoes until cooked but not overdone. Peel and cut into 1/2&Prime; cubes. <br><br>Heat oil very hot, add and brown cumin seeds. Add potatoes and fry until they are golden brown. Add the remaining ingredients, and fry for 2-3 minutes or more. Remove from oil with a slotted spoon. <br><br>Serve hot. <br><br>Tips: Use enough oil so that the potatoes will not need to be stirred often. This avoids breaking them up. <br>	1	NULL	serves 4-6	NULL	3
8	MATTAR PANEER (PEAS AND CHEESE)	Cut paneer in 1&Prime; cubes and deep fry. Make Masala with onion, garlic, ginger, and tomatoes. Season and add turmeric. Add peas and paneer.<br>	1	NULL	NULL	NULL	3
9	NAVRATHNA KURMA	Grate the onions. Put the tomatoes in hot water. After 10 minutes take off the skin and chop. Cut the paneer into small pieces and deep fry in ghee. <br><br>Heat oil in a vessel and fry the onions for a few minutes. Add the ginger and garlic paste, and fry for 1/2 minute. Add the chopped tomatoes, turmeric powder, coriander powder and chili powder, Garam Masala and salt. Fry for at least 3-4 minutes. Add the boiled vegetables, milk, cream and fried paneer pieces. Cook for a few minutes. <br><br>Serve hot decorated with silver foil. <br>	1	NULL	Serves 6	NULL	3
10	MASUR DAL (LENTILS)	Wash the dal and drain it. Boil water and add the dal, salt, pepper, turmeric, finely chopped ginger, and garlic. Cover the pot and simmer for 20 minutes. <br><br>When done, heat the ghee, add the cumin and fry until golden brown. Add thinly sliced onions. Fry until crisp and brown. You may add paprika and finely chopped tomatoes to the above for color (Pour over the dal and serve). <br>	1	NULL	Serves 4	NULL	4
11	RED KIDNEY BEANS (RAJMA)	Wash beans and boil for 2-3 hours or 1/2 hour in a pressure cooker. In the meantime make Masala of onions, garlic, ginger and tomato as in chicken curry. Add to the beans and cook again until most of the liquid dries up and the beans are soft and thoroughly cooked. Garnish with coriander leaves and serve. <br>	1	NULL	Serves 6 - 8	NULL	4
12	CHICKEN PULLAO	Heat vessel with butter. Fry bay leaves, cloves, cardamom and cinnamon. Put onions and chilies in vessel and fry on low heat until onions turn brown. Add ginger + garlic paste and fry until oil separates. Add<br>tomato and fry for 1 minute.<br><br>Add chicken + salt + yogurt and fry for one minute. Add mint + coriander leaves.<br><br>Cover and cook until the gravy becomes semi-solid. <br> <br>Cook rice in a separate vessel. Put rice into chicken and mix (It is advisable to cook rice about 3/4 ths and then let it cook with the chicken). Remove and serve (Will serve about 4 hungry grad. students.)<br>	1	NULL	Serves 4	NULL	5
13	VEGETABLE PULLAV	Wash the rice and drain the water. Extract one cup of water from tomatoes.<br><br>Pour the butter into a vessel and heat. Add cinnamon, cardamom and cloves. Add onions and chilies and fry until onions turn golden brown. Add ginger + garlic paste and turmeric powder paste and fry until you get a nice smell. <br><br>Now pour in the tomato water + 1 cup water. Add coconut, coriander powder (Dhania powder), salt and let it boil. Add rice + coriander leaves + vegetables. Reduce to low heat and let the rice cook. <br>	1	NULL	NULL	NULL	5
